pipeline_name,Pipeline,procedure_name,Procedure,parameter_name,Parameter,strain_accession_id,Strain,genetic_background,gene_symbol,Gene,allele_symbol,Allele,Center,Genotype,Assay.Date,date_of_birth,age_in_weeks,developmental_stage_name,Zygosity,Sex,biological_sample_group,external_sample_id,Metadata,MetadataGroup,Weight,production_center,Value
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-15,14,postnatal,homozygote,female,experimental,84523,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,19.2,WTSI,0.739062
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,male,experimental,84540,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.5,WTSI,0.720816
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19639,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.1,WTSI,0.809562
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,female,experimental,19603,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,17.1,WTSI,0.736842
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19674,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,22.2,WTSI,0.753604
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,male,experimental,19701,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,25.4,WTSI,0.790945
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-18,2007-12-16,13,postnatal,homozygote,female,experimental,19670,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,17.2,WTSI,0.752326
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,female,experimental,84490,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,19.2,WTSI,0.659375
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-10-23,2008-07-18,13,postnatal,homozygote,male,experimental,84551,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,24.0,WTSI,0.800417
EUMODIC Pipeline 1,ESLIM_001,DEXA,ESLIM_005_001,Lean/Body weight,ESLIM_005_001_702,MGI:3050593,129S/SvEv,involves: 129S/SvEv,Akt2,MGI:104874,Akt2<tm1Wcs>,MGI:5760356,WTSI,clone 1,2008-03-20,2007-12-17,13,postnatal,homozygote,male,experimental,19626,"[Equipment name = Densitometer, Equipment manufacturer = GE LUNAR, Equipment model = Lunar PIXImus 2, Mouse status = Anaesthetised]",45a983be46dc06a6a3ed8663d3d673ed,26.6,WTSI,0.808271
